Category,Neighbourhood Information,Population,Population,Population,Population,Population,Population,Population,Population,"Families, households and marital status","Families, households and marital status","Families, households and marital status","Families, households and marital status","Families, households and marital status","Families, households and marital status","Families, households and marital status","Families, households and marital status",Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income
Topic,Neighbourhood Information,Population and dwellings,Population and dwellings,Age characteristics,Age characteristics,Age characteristics,Age characteristics,Age characteristics,Age characteristics,Occupied private dwellings by structural type of dwelling,Occupied private dwellings by structural type of dwelling,Occupied private dwellings by structural type of dwelling,Private households by household size,Private households by household size,Private households by household size,Private households by household size,Private households by household size,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Total - Household after-tax income groups in 2015 for private households,Low income in 2015
Characteristic,Neighbourhood Name,"Population, 2016",Population density per square kilometre,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years),  Single-detached house,  Apartment in a building that has five or more storeys,  Other attached dwelling,  1 person,  2 persons,  3 persons,  4 persons,  5 or more persons,"  Under $5,000","  $5,000 to $9,999","  $10,000 to $14,999","  $15,000 to $19,999","  $20,000 to $24,999","  $25,000 to $29,999","  $30,000 to $34,999","  $35,000 to $39,999","  $40,000 to $44,999","  $45,000 to $49,999","  $50,000 to $59,999","  $60,000 to $69,999","  $70,000 to $79,999","  $80,000 to $89,999","  $90,000 to $99,999","    $100,000 to $124,999","    $125,000 to $149,999","    $150,000 and over","In low income based on the Low-income cut-offs, after tax (LICO-AT)"
0,City of Toronto,"2,731,571","4,334","398,135","340,270","1,229,555","336,670","426,945","66,000","269,675","493,275","349,880","359,955","333,425","175,720","146,580","97,245","34,795","23,615","37,080","55,930","51,910","52,205","53,515","55,545","55,770","53,385","98,910","86,755","75,120","63,360","51,570","94,020","58,260","111,185","469,325"
1,West Humber-Clairville,"33,312","1,117","5,060","5,445","13,845","3,990","4,980",615,3870,2265,4150,1800,2430,2020,1985,2050,215,150,195,300,385,465,450,530,495,545,"1,005","1,045",815,760,595,"1,150",645,565,"4,550"
2,Mount Olive-Silverstone-Jamestown,"32,954","7,291","7,090","5,240","13,615","3,475","3,560",300,1655,6165,2065,1510,2045,2010,2075,2215,150,220,295,440,445,555,625,670,670,660,"1,160",980,765,585,445,690,300,225,"7,140"
3,Thistletown-Beaumond Heights,"10,360","3,130","1,730","1,410","4,160","1,195","1,880",350,1575,680,1020,570,880,645,565,615,40,35,70,120,160,150,190,175,185,170,340,290,240,200,185,340,190,190,"1,485"
4,Rexdale-Kipling,"10,529","4,229","1,640","1,355","4,300","1,520","1,730",300,1775,460,1610,985,1045,700,655,450,65,95,135,195,190,185,190,205,195,210,360,305,270,270,220,395,180,170,"1,640"
5,Elms-Old Rexdale,"9,456","3,306","1,805","1,440","3,700","1,255","1,275",145,990,1375,845,635,885,665,535,500,45,45,80,130,150,170,195,195,195,210,355,315,255,190,160,270,135,105,"1,695"
6,Kingsview Village-The Westway,"22,000","4,356","4,240","3,020","8,635","2,550","3,585",575,2175,4760,850,1760,2285,1400,1235,1110,130,105,180,295,420,420,440,500,500,480,865,675,555,470,345,615,365,425,"4,340"
7,Willowridge-Martingrove-Richview,"22,156","4,007","3,555","2,625","8,140","2,905","4,905",885,3600,3740,1165,2165,2600,1495,1400,840,105,80,155,305,405,430,380,450,455,390,805,685,600,555,435,875,550,820,"2,470"
