Category,Neighbourhood Information,Population,Population,"Families, households and marital status",Income,Population,Population,Population,Income,Income,Income,Income
Topic,Neighbourhood Information,Population and dwellings,Population and dwellings,Household and dwelling characteristics,Income of households in 2015,Age characteristics,Age characteristics,Age characteristics,Income of individuals in 2015,Income of economic families in 2015,Income of economic families in 2015,Low income in 2015
Characteristic,Neighbourhood Name,"Population, 2016",Population density per square kilometre, Average household size,  Average after-tax income of households in 2015 ($),Youth (0-24 years),Working Age (25-54 years),Seniors (55+ years),  Number of employment income recipients aged 15 years and over in private households - 100% data,  In the bottom half of the distribution,  In the top half of the distribution,"In low income based on the Low-income cut-offs, after tax (LICO-AT)"
0,City of Toronto,"2,731,571","4,334",2.42,"81,495","738,405","1,229,555","829,615","1,578,750","1,455,315","1,236,350","469,325"
1,West Humber-Clairville,"33,312","1,117",3.2,"426,156","10,505","13,845","9,585","19,055","19,565","13,325","4,550"
2,Mount Olive-Silverstone-Jamestown,"32,954","7,291",3.32,"360,648","12,330","13,615","7,335","16,005","25,410","7,410","7,140"
3,Thistletown-Beaumond Heights,"10,360","3,130",3.09,"140,050","3,140","4,160","3,425","5,425","6,325","3,795","1,485"
4,Rexdale-Kipling,"10,529","4,229",2.69,"134,305","2,995","4,300","3,550","5,835","6,000","4,360","1,640"
5,Elms-Old Rexdale,"9,456","3,306",2.93,"123,119","3,245","3,700","2,675","4,935","6,365","3,075","1,695"
6,Kingsview Village-The Westway,"22,000","4,356",2.82,"272,950","7,260","8,635","6,710","11,065","14,335","7,650","4,340"
7,Willowridge-Martingrove-Richview,"22,156","4,007",2.6,"412,302","6,180","8,140","8,695","11,990","10,895","11,255","2,470"
8,Humber Heights-Westmount,"10,948","3,981",2.45,"238,655","2,590","3,790","5,505","5,690","4,975","5,130","1,090"
9,Edenbridge-Humber Valley,"15,535","2,840",2.43,"441,052","3,925","5,940","6,340","9,225","5,790","9,405","1,250"
10,Princess-Rosethorn,"11,051","2,138",2.86,"538,736","3,350","3,825","4,205","6,610","2,685","8,375",660
11,Eringate-Centennial-West Deane,"18,588","2,171",2.7,"352,269","5,040","6,910","7,185","11,055","7,195","11,330","1,385"
12,Markland Wood,"10,554","3,614",2.43,"195,412","2,505","3,600","4,975","6,210","3,490","6,960",670
13,Etobicoke West Mall,"11,848","6,582",2.5,"132,460","3,155","5,025","4,165","6,855","6,635","4,825","1,685"
14,Islington-City Centre West,"43,965","2,712",2.24,"854,623","10,515","20,640","14,285","27,170","19,725","23,510","5,600"
15,Kingsway South,"9,271","3,593",2.56,"900,624","2,680","3,245","3,665","5,360","1,540","7,625",380
16,Stonegate-Queensway,"25,051","3,199",2.4,"516,575","6,555","10,660","8,575","15,195","9,170","15,725","2,360"
17,Mimico (includes Humber Bay Shores),"33,964","4,915",1.87,"583,422","6,515","17,695","10,345","22,330","15,325","17,990","5,210"
18,New Toronto,"11,463","3,342",2.1,"188,819","3,000","5,215","3,245","6,870","6,495","4,790","2,440"
19,Long Branch,"10,084","4,584",2.09,"137,480","2,465","4,705","3,065","6,500","5,265","4,790","1,520"
20,Alderwood,"12,054","2,435",2.6,"168,602","2,995","5,220","4,160","7,425","4,735","7,290",850
21,Humber Summit,"12,416","1,570",3.18,"202,677","3,875","4,855","3,955","6,100","8,210","4,195","1,990"
22,Humbermede,"15,545","3,565",3.07,"184,459","5,170","6,445","4,180","8,085","11,075","4,450","2,855"
23,Pelmo Park-Humberlea,"10,722","2,547",2.89,"154,568","3,115","4,645","3,185","6,265","5,200","5,515","1,000"
24,Black Creek,"21,737","6,282",2.94,"261,560","7,890","8,525","5,665","9,985","17,315","4,250","5,575"
25,Glenfield-Jane Heights,"30,491","5,864",3.04,"410,012","10,310","11,590","9,310","14,630","22,035","8,175","6,320"
26,Downsview-Roding-CFB,"35,052","2,337",2.67,"562,794","10,065","15,045","10,785","19,380","22,180","12,755","5,540"
27,York University Heights,"27,593","2,086",2.71,"302,358","8,795","12,290","6,895","15,795","19,105","8,460","6,195"
28,Rustic,"9,941","4,734",2.67,"113,995","3,345","3,615","3,345","4,650","6,845","2,905","2,360"
29,Maple Leaf,"10,111","4,012",2.77,"144,062","2,765","4,110","3,615","5,530","5,910","3,945","1,160"
30,Brookhaven-Amesbury,"17,757","5,045",2.73,"176,688","5,820","7,625","4,600","9,575","12,385","5,315","3,410"
31,Yorkdale-Glen Park,"14,804","2,451",2.62,"213,860","3,830","5,860","5,880","7,865","7,735","6,290","1,945"
32,Englemount-Lawrence,"22,372","6,466",2.65,"293,189","7,835","8,385","7,110","11,485","13,200","8,690","3,900"
33,Clanton Park,"16,472","3,979",2.51,"168,893","4,675","7,470","4,710","9,980","8,055","8,365","2,100"
34,Bathurst Manor,"15,873","3,377",2.56,"251,583","4,265","6,655","5,680","9,250","8,150","7,435","2,205"
35,Westminster-Branson,"26,274","7,339",2.55,"332,776","6,795","10,865","9,630","15,105","17,900","8,160","5,290"
